0.6 0.4,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l2', 'C': 0.031622776601683791},0.2352941176,0.6464646465
0.6 0.4,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l1', 'C': 1.0},0.2352941176,0.66
0.6 0.4,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l2', 'C': 1.0},0.2352941176,0.6666666667
0.6 0.4,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l2', 'C': 0.001},0.2352941176,0.64
0.6 0.4,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l1', 'C': 0.031622776601683791},0.2352941176,0.6530612245
0.6 0.4,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l2', 'C': 0.031622776601683791},0.2352941176,0.6464646465
0.6 0.4,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l1', 'C': 1.0},0.2352941176,0.6666666667
0.6 0.4,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l2', 'C': 1.0},0.2352941176,0.6666666667
0.6 0.4,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l2', 'C': 31.622776601683793},0.2352941176,0.6470588235
0.6 0.4,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 0.001},0.2352941176,0.6534653465
0.6 0.4,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 0.031622776601683791},0.2352941176,0.6464646465
0.6 0.4,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 0.031622776601683791},0.2352941176,0.6464646465
0.6 0.4,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 1.0},0.2352941176,0.66
0.6 0.4,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 0.001},0.2352941176,0.6534653465
0.6 0.4,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 0.031622776601683791},0.2352941176,0.6464646465
0.6 0.4,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 0.031622776601683791},0.2352941176,0.6464646465
0.6 0.4,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 1.0},0.2352941176,0.66
0.6 0.4,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l2', 'C': 0.001},0.2352941176,0.6534653465
0.6 0.4,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l1', 'C': 0.031622776601683791},0.2352941176,0.6464646465
0.6 0.4,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l2', 'C': 0.031622776601683791},0.2352941176,0.6464646465
0.6 0.4,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l2', 'C': 1.0},0.2352941176,0.66
0.6 0.4,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l2', 'C': 0.001},0.2352941176,0.6534653465
0.6 0.4,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l1', 'C': 0.031622776601683791},0.2352941176,0.6464646465
0.6 0.4,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l2', 'C': 0.031622776601683791},0.2352941176,0.6464646465
0.6 0.4,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l2', 'C': 1.0},0.2352941176,0.66
0.6 0.4,5,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l1', 'C': 31.622776601683793},0.2352941176,0.6181818182
0.6 0.4,5,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l2', 'C': 31.622776601683793},0.2352941176,0.6181818182
0.6 0.4,5,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l1', 'C': 1000.0},0.2352941176,0.6181818182
0.6 0.4,5,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l2', 'C': 1000.0},0.2352941176,0.6181818182
0.4 0.6,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l2', 'C': 0.001},0.2352941176,0.6464646465
0.4 0.6,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l1', 'C': 31.622776601683793},0.2352941176,0.6868686869
0.4 0.6,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l2', 'C': 31.622776601683793},0.2352941176,0.6868686869
0.4 0.6,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l1', 'C': 1000.0},0.2352941176,0.6868686869
0.4 0.6,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l2', 'C': 1000.0},0.2352941176,0.6868686869
0.4 0.6,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l2', 'C': 0.001},0.2352941176,0.64
0.4 0.6,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l1', 'C': 31.622776601683793},0.2352941176,0.68
0.4 0.6,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l2', 'C': 31.622776601683793},0.2352941176,0.68
0.4 0.6,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l1', 'C': 1000.0},0.2352941176,0.6868686869
0.4 0.6,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l2', 'C': 1000.0},0.2352941176,0.6868686869
0.4 0.6,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 0.001},0.2352941176,0.6530612245
0.4 0.6,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 1.0},0.2352941176,0.68
0.4 0.6,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 31.622776601683793},0.2352941176,0.6868686869
