0.5 0.5,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 31.622776601683793},0.3076923077,0.8314606742
0.5 0.5,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 31.622776601683793},0.3076923077,0.8539325843
0.5 0.5,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 1000.0},0.3076923077,0.8314606742
0.5 0.5,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 0.031622776601683791},0.3076923077,0.8131868132
0.5 0.5,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 31.622776601683793},0.3076923077,0.8314606742
0.5 0.5,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 31.622776601683793},0.3076923077,0.8539325843
0.5 0.5,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 1000.0},0.3076923077,0.8314606742
0.5 0.5,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 1000.0},0.3076923077,0.8539325843
0.5 0.5,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l2', 'C': 0.031622776601683791},0.3076923077,0.8131868132
0.5 0.5,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l2', 'C': 1.0},0.3076923077,0.8314606742
0.5 0.5,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l1', 'C': 31.622776601683793},0.3076923077,0.8314606742
0.5 0.5,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l2', 'C': 31.622776601683793},0.3076923077,0.8539325843
0.5 0.5,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l1', 'C': 1000.0},0.3076923077,0.8314606742
0.5 0.5,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l1', 'C': 0.031622776601683791},0.3076923077,0.808988764
0.5 0.5,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l2', 'C': 0.031622776601683791},0.3076923077,0.8131868132
0.5 0.5,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l2', 'C': 1.0},0.3076923077,0.8314606742
0.5 0.5,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l1', 'C': 31.622776601683793},0.3076923077,0.8314606742
0.5 0.5,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l2', 'C': 31.622776601683793},0.3076923077,0.8539325843
0.5 0.5,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l1', 'C': 1000.0},0.3076923077,0.8314606742
0.5 0.5,5,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l2', 'C': 0.001},0.3076923077,0.4596273292
0.5 0.5,5,{'penalty': 'l2', 'C': 0.001},{'penalty': 'l2', 'C': 31.622776601683793},0.3076923077,0.7378640777
0.5 0.5,5,{'penalty': 'l2', 'C': 0.001},{'penalty': 'l2', 'C': 1000.0},0.3076923077,0.7378640777
0.5 0.5,5,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l1', 'C': 31.622776601683793},0.3076923077,0.8
0.6 0.4,3,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l2', 'C': 1.0},0.3076923077,0.8571428571
0.6 0.4,4,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l2', 'C': 1.0},0.3076923077,0.7789473684
0.6 0.4,4,{'penalty': 'l2', 'C': 0.001},{'penalty': 'l2', 'C': 0.031622776601683791},0.3076923077,0.6868686869
0.6 0.4,4,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l1', 'C': 0.031622776601683791},0.3076923077,0.7368421053
0.6 0.4,4,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l2', 'C': 0.031622776601683791},0.3076923077,0.7741935484
0.6 0.4,4,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l2', 'C': 1.0},0.3076923077,0.7659574468
0.6 0.4,4,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l1', 'C': 31.622776601683793},0.3076923077,0.7659574468
0.6 0.4,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l1', 'C': 31.622776601683793},0.3076923077,0.8314606742
0.6 0.4,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l2', 'C': 31.622776601683793},0.3076923077,0.8314606742
0.6 0.4,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l1', 'C': 1000.0},0.3076923077,0.8314606742
0.6 0.4,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l2', 'C': 1000.0},0.3076923077,0.8314606742
0.6 0.4,4,{'penalty': 'l2', 'C': 1.0},{'penalty': 'l2', 'C': 31.622776601683793},0.3076923077,0.8314606742
0.6 0.4,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 31.622776601683793},0.3076923077,0.8444444444
0.6 0.4,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 31.622776601683793},0.3076923077,0.8444444444
0.6 0.4,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 1000.0},0.3076923077,0.8444444444
0.6 0.4,4,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 1000.0},0.3076923077,0.8444444444
0.6 0.4,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 31.622776601683793},0.3076923077,0.8444444444
0.6 0.4,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 31.622776601683793},0.3076923077,0.8444444444
0.6 0.4,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l1', 'C': 1000.0},0.3076923077,0.8444444444
0.6 0.4,4,{'penalty': 'l2', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 1000.0},0.3076923077,0.8444444444
0.6 0.4,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l2', 'C': 1.0},0.3076923077,0.8444444444
0.6 0.4,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l1', 'C': 31.622776601683793},0.3076923077,0.8444444444
0.6 0.4,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l2', 'C': 31.622776601683793},0.3076923077,0.8444444444
0.6 0.4,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l1', 'C': 1000.0},0.3076923077,0.8444444444
0.6 0.4,4,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l2', 'C': 1000.0},0.3076923077,0.8444444444
0.6 0.4,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l2', 'C': 1.0},0.3076923077,0.8444444444
0.6 0.4,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l1', 'C': 31.622776601683793},0.3076923077,0.8444444444
0.6 0.4,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l2', 'C': 31.622776601683793},0.3076923077,0.8444444444
0.6 0.4,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l1', 'C': 1000.0},0.3076923077,0.8444444444
0.6 0.4,4,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l2', 'C': 1000.0},0.3076923077,0.8444444444
0.6 0.4,5,{'penalty': 'l2', 'C': 0.001},{'penalty': 'l2', 'C': 1000.0},0.3076923077,0.7169811321
0.6 0.4,5,{'penalty': 'l1', 'C': 31.622776601683793},{'penalty': 'l2', 'C': 1000.0},0.3076923077,0.8351648352
0.6 0.4,5,{'penalty': 'l1', 'C': 1000.0},{'penalty': 'l2', 'C': 1000.0},0.3076923077,0.8351648352
0.6 0.4,5,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l2', 'C': 31.622776601683793},0.3076923077,0.8351648352
0.6 0.4,5,{'penalty': 'l2', 'C': 1000.0},{'penalty': 'l2', 'C': 1000.0},0.3076923077,0.8351648352
0.4 0.6,4,{'penalty': 'l1', 'C': 0.001},{'penalty': 'l2', 'C': 1.0},0.3076923077,0.7872340426
0.4 0.6,4,{'penalty': 'l1', 'C': 0.031622776601683791},{'penalty': 'l2', 'C': 0.031622776601683791},0.3076923077,0.7142857143
0.4 0.6,4,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l2', 'C': 0.031622776601683791},0.3076923077,0.7708333333
0.4 0.6,4,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l1', 'C': 1.0},0.3076923077,0.7956989247
0.4 0.6,4,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l2', 'C': 1.0},0.3076923077,0.7956989247
0.4 0.6,4,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l1', 'C': 31.622776601683793},0.3076923077,0.7956989247
0.4 0.6,4,{'penalty': 'l2', 'C': 0.031622776601683791},{'penalty': 'l1', 'C': 1000.0},0.3076923077,0.7956989247
0.4 0.6,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l1', 'C': 1.0},0.3076923077,0.8043478261
0.4 0.6,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l2', 'C': 1.0},0.3076923077,0.8043478261
0.4 0.6,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l1', 'C': 31.622776601683793},0.3076923077,0.8314606742
0.4 0.6,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l2', 'C': 31.622776601683793},0.3076923077,0.8409090909
0.4 0.6,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l1', 'C': 1000.0},0.3076923077,0.8314606742
0.4 0.6,4,{'penalty': 'l1', 'C': 1.0},{'penalty': 'l2', 'C': 1000.0},0.3076923077,0.8409090909
